teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
5610.75,278.97227318054,39.17502510223,1.3411,4.6,8.115,13.594291,13.988889,13.03217,0.394598,67.7659568050291,19.5612026895728
5882.75,75.40402064652,39.98875627466,0.3971,2.225,-3.159,15.728081,16.211304,15.071784,0.483222999999999,165.778024648926,-1.22369762596624
4630.36,120.57838260426,0.26839967433,1.351,-5.623,-2.96,11.666726,12.250295,10.975409,0.583568999999999,220.975243446651,15.8427770683902
5341.99,63.2022105378,16.83352606988,1.9227,14.244,-9.111,15.762306,16.657839,14.822448,0.895532999999999,176.886638002685,-24.3052367663541
6567.82,19.04762438735,41.98734318293,1.4398,-9.114,-1.115,12.792649,13.040536,12.400237,0.247886999999999,127.84373232037,-20.6482161000494
5632.95,319.26588983335,18.25960947773,1.0425,-7.497,-6.331,13.873236,14.265799,13.330709,0.392562999999999,67.9664803928589,-21.0233363258884
4631.755,291.06520759724,1.6896505635,0.2432,-2.34,-2.748,14.609999,15.454121,13.713789,0.844122,38.2042249488956,-6.51860749562498
5631.7,116.04037083576,11.09371413097,0.9749,-5.613,-4.664,14.91325,15.296206,14.369911,0.382956,208.788678447902,16.6716270439385
5970.18,331.05504702725,3.06434184168,0.7777,-3.284,-6.791,14.902322,15.243629,14.401293,0.341307,63.105027291247,-39.6498827408005
5213.48,75.34280934024,19.76271050665,1.4082,8.249,-13.095,16.043884,16.720055,15.245287,0.676171,182.048845987103,-13.4609500652706
4197.78,347.71481345579,23.58380048257,1.0815,8.462,-6.066,16.83726,17.729918,15.86691,0.892658000000001,94.9962707083774,-33.7744563100216
5971.93,129.86443214563,25.45720530792,1.8122,-8.935,-11.554,12.722858,13.03845,12.252378,0.315591999999999,199.26561149482,34.1164297274951
4660.84,289.79831598704,48.08270207592,0.5147,-2.013,1.928,12.136769,12.722029,11.438387,0.58526,79.4409723889931,15.5139538479967
6494.16,120.4424725605,17.97346096055,0.3418,-0.807,-0.369,15.806058,16.045004,15.409015,0.238945999999999,203.932655943774,23.3557784471288
4348.61,125.78059264424,6.14603053463,0.464,-8.643,-0.366,11.671239,12.320834,10.923918,0.649595,218.004310319119,23.1689916902219
6254.44,25.58681837709,50.82082918412,1.7422,-4.366,-3.924,12.412668,12.777298,11.889566,0.36463,131.089986279828,-11.242751062553
5583.16,229.42827376591,33.66009805119,1.5328,-12.194,-6.243,13.765528,14.1257,13.249661,0.360172,53.7415831858826,57.9604128762174
6913.94,267.65330939405,2.58476983984,1.6248,-4.548,5.169,12.078882,12.400527,11.598745,0.321645,28.2267383477685,14.7003552526207
4506.44,78.45594109943,32.74374262317,0.5475,-0.873,-1.716,12.61514,13.914896,11.49004,1.299756,173.058282256789,-3.59163823330977
4309.022,112.76635252748,40.60124893266,0.3107,-1.089,0.609,11.467757,12.183177,10.676446,0.71542,178.142100001435,24.3939012958754
4468.945,337.39210762219,57.62942644153,0.2204,-0.081,-1.372,14.597142,15.660115,13.576372,1.062973,104.833064597945,-0.169192747058946
5268.66,190.26015490135,11.189809557,1.7117,-27.198,-15.155,14.365567,14.778783,13.794074,0.413216,293.714118302938,73.8751922407903
